FID,JOIN_FID,FREQUENCY,SUM_resist
-1,464,1878,4202.467762
-1,465,353,789.9207311
-1,466,60,134.26415
-1,467,238,532.58112
-1,468,238,532.581121
-1,469,3746,8382.557822
-1,470,166,371.4641478
-1,471,172,384.8905753
-1,472,239,534.8189047
-1,473,455,1018.16987
-1,474,33,73.8452908
-1,475,799,1787.951133
-1,476,526,1177.049181
-1,477,204,456.4981645
-1,478,672,1503.758659
-1,479,869,1944.593228
-1,480,197,440.8341354
-1,481,520,1163.622827
-1,482,9009,20159.76305
-1,483,4798,10736.65808
-1,484,3132,7008.590113
-1,485,277,619.8529988
-1,486,191,427.4077754
-1,487,132,295.381224
-1,488,1309,2929.197104
-1,489,54,120.837808
-1,490,53,118.6000727
-1,491,791,1770.049604
-1,492,338,756.35501
-1,494,322,720.5512259
-1,495,326,729.5021772
-1,496,2504,5603.292855
-1,497,2656,5943.428366
-1,498,5792,12960.97001
-1,499,25,55.94342211
-1,500,43,96.22269136
-1,501,175,391.603977
-1,502,296,662.3701532
-1,503,1352,3025.420474
-1,504,1125,2517.454259
-1,505,11,24.61510986
-1,506,45,100.698177
-1,507,240,537.0569298
-1,508,644,1441.102766
-1,509,182,407.2681814
-1,510,2056,4600.787572
-1,511,60,134.2642496
-1,512,701,1568.653987
-1,513,588,1315.789656
-1,514,94,210.3473313
-1,515,206,460.9739692
-1,516,884,1978.160136
-1,518,2001,4477.710009
-1,519,559,1250.895726
-1,520,92,205.8719435
-1,521,77,172.3056631
-1,522,258,577.3357992
-1,523,55,123.0754627
-1,524,55,123.0754639
-1,525,89,199.1584917
-1,526,176,393.8415267
-1,527,16,35.80377659
-1,528,396,886.1435019
-1,529,201,449.7849525
-1,530,7,15.66415454
-1,531,32,71.60756688
-1,532,13,29.09057403
-1,533,13,29.09057622
-1,534,46,102.9358903
-1,535,398,890.6191951
-1,536,53,118.6000955
-1,537,175,391.6038015
-1,538,24,53.70566947
-1,539,190,425.1698136
-1,540,108,241.6754814
-1,541,23,51.46793045
-1,542,96,214.8226331
-1,543,367,821.2488299
-1,544,59,132.0263941
-1,545,227,507.9659678
-1,546,30,67.13206662
-1,548,136,304.3320331
-1,549,62,138.7396028
-1,550,34,76.08301127
-1,551,69,154.4037689
-1,552,303,678.0338762
-1,553,56,125.3131953
-1,554,44,98.46036495
-1,555,223,499.0150413
-1,556,47,105.1735768
-1,557,17,38.04150671
-1,558,30,67.13207338
-1,559,188,420.6943194
-1,560,83,185.7320624
-1,561,263,588.524497
-1,562,92,205.8716897
-1,563,92,205.8716911
-1,564,28,62.65660229
-1,565,792,1772.286731
-1,566,54,120.8377339
-1,567,343,767.5433874
-1,568,1654,3701.214774
-1,569,52,116.3622627
-1,570,73,163.3547194
-1,571,394,881.6679159
-1,572,618,1382.920719
-1,573,75,167.8301917
-1,574,238,532.5811308
-1,575,63,140.9773618
-1,576,22,49.23019047
-1,577,31,69.36981434
-1,578,44,98.46038141
-1,579,1160,2595.773599
-1,580,22,49.23019188
-1,581,22,49.23019197
-1,582,19,42.51698414
-1,583,71,158.8792546
-1,584,50,111.8868026
-1,585,176,393.8415364
-1,586,45,100.6981214
-1,587,118,264.0528443
-1,588,22,49.23019373
-1,589,84,187.9698339
-1,590,205,458.7358959
-1,591,20,44.75472323
-1,592,51,114.1245422
-1,593,49,109.6490725
-1,594,20,44.75472376
-1,595,1138,2546.543708
-1,596,54,120.837757
-1,597,985,2204.170183
-1,598,606,1356.068134
-1,599,75,167.8302209
-1,600,51,114.1245498
-1,601,42,93.98492459
-1,602,30,67.13208858
-1,603,161,360.2755428
-1,604,58,129.7887034
-1,605,146,326.709505
-1,606,13,29.09057294
-1,607,167,373.7019837
-1,608,181,405.0302903
-1,609,28,62.65662193
-1,610,1099,2459.272332
-1,611,20,44.75473027
