Orig_FID,Class,Quadrant,District,Orig_area,Gridtype,Resolution,Area,DiffArea,Percent
1014,Manicured,NE,707H,88.1311755,ISEA3H,25,362.5132354,274.3820599,311.3337118
462,Building/Paved,NW,801E,88.48573738,ISEA3H,25,302.0943249,213.6085875,241.4045402
796,Manicured,NE,707G,88.53542087,ISEA3H,25,362.5133292,273.9779083,309.4557021
945,Manicured,NE,707D,89.68767666,ISEA3H,25,422.9324426,333.244766,371.5613766
1074,Roads/Raillines,NE,707H,90.22009647,ISEA3H,25,422.9321257,332.7120292,368.7781794
601,Manicured,NW,801E,90.60328379,ISEA3H,25,543.7699218,453.1666381,500.1657988
795,Manicured,NE,707D,90.82576806,ISEA3H,25,362.5135353,271.6877672,299.1307126
679,Stream/Rivers,NW,801E,90.83246327,ISEA3H,25,1329.215634,1238.383171,1363.370679
947,Manicured,NE,707D,91.13071606,ISEA3H,25,543.7702948,452.6395788,496.6926612
834,Manicured,NE,707I,91.58006573,ISEA3H,25,543.7696658,452.1896001,493.7642231
110,Building/Paved,NE,801G,91.60459232,ISEA3H,25,302.0945283,210.4899359,229.7809865
242,Manicured,NE,707C,91.99243567,ISEA3H,25,422.9320782,330.9396425,359.7465814
554,Manicured,NW,801J,92.18371801,ISEA3H,25,422.9320223,330.7483043,358.7925411
830,Manicured,NE,707F,92.80370916,ISEA3H,25,543.7696475,450.9659383,485.9352524
105,Building/Paved,NE,707C,92.86824076,ISEA3H,25,302.0945512,209.2263104,225.2937158
586,Manicured,NW,801J,93.99223983,ISEA3H,25,362.5132384,268.5209986,285.6842215
500,Building/Paved,NW,801E,94.07773935,ISEA3H,25,302.0944966,208.0167573,221.1115602
748,Building/Paved,NE,707D,94.32648385,ISEA3H,25,725.0269263,630.7004425,668.6355907
10,Building/Paved,NE,707C,94.33531305,ISEA3H,25,362.5130898,268.1777768,284.2814299
868,Manicured,NE,707H,94.69786089,ISEA3H,25,543.7698811,449.0720202,474.2155905
506,Building/Paved,NW,801E,94.73297664,ISEA3H,25,422.932343,328.1993664,346.4468003
865,Manicured,NE,707G,95.13209652,ISEA3H,25,302.0943778,206.9622812,217.5525283
678,Stream/Rivers,NW,801E,95.50505861,ISEA3H,25,664.6077795,569.1027209,595.8875155
869,Manicured,NE,707H,95.52894852,ISEA3H,25,604.1887523,508.6598038,532.4666624
959,Manicured,NE,707D,95.93638929,ISEA3H,25,362.5136059,266.5772166,277.8687197
123,Building/Paved,NE,707C,96.05382668,ISEA3H,25,483.3513373,387.2975106,403.2088299
360,Manicured,NE,707A,96.69454946,ISEA3H,25,362.5137493,265.8191999,274.9060846
701,Building/Paved,NE,707I,97.76273488,ISEA3H,25,725.0262941,627.2635593,641.6182609
113,Building/Paved,NE,707C,97.8723558,ISEA3H,25,362.5134408,264.641085,270.3941096
450,Building/Paved,NW,801J,98.03085568,ISEA3H,25,725.0262448,626.9953891,639.589836
356,Manicured,NE,707A,98.40981426,ISEA3H,25,302.094802,203.6849878,206.9762953
251,Manicured,NE,707C,98.56111696,ISEA3H,25,422.9321184,324.3710015,329.1064585
304,Manicured,NE,801G,98.58296123,ISEA3H,25,422.9321832,324.349222,329.0114417
305,Manicured,NE,801F,98.60726746,ISEA3H,25,302.0944495,203.487182,206.3612422
622,Manicured,NW,801A,98.95372406,ISEA3H,25,483.3511591,384.3974351,388.4618176
687,Building/Paved,NE,707I,100.1870659,ISEA3H,25,362.513037,262.3259711,261.8361649
845,Manicured,NE,707I,100.7268828,ISEA3H,25,664.6074746,563.8805918,559.8114189
319,Manicured,NE,707A,101.1221847,ISEA3H,25,483.3516925,382.2295078,377.9877867
148,Building/Paved,NE,801H,101.973168,ISEA3H,25,1027.121731,925.1485631,907.2470545
96,Building/Paved,NE,707C,102.8526275,ISEA3H,25,302.0945171,199.2418896,193.7158967
295,Manicured,NE,801G,102.9836321,ISEA3H,25,422.9323367,319.9487046,310.6791808
99,Building/Paved,NE,707C,103.0638547,ISEA3H,25,422.9323251,319.8684704,310.3595061
866,Manicured,NE,707G,103.1703877,ISEA3H,25,543.7698898,440.5995021,427.060043
937,Manicured,NE,707D,103.6241091,ISEA3H,25,483.351316,379.7272069,366.4467759
406,Manicured,NE,707A,103.8791826,ISEA3H,25,483.3518284,379.4726459,365.3019175
434,Roads/Raillines,NE,707A,105.9724621,ISEA3H,25,483.3516428,377.3791807,356.1106095
651,Manicured,NW,801B,106.0572264,ISEA3H,25,483.3514515,377.2942251,355.7458911
275,Manicured,NE,801F,106.6749033,ISEA3H,25,483.3508497,376.6759463,353.1064333
578,Manicured,NW,801E,107.3389063,ISEA3H,25,362.5132236,255.1743173,237.7277039
556,Manicured,NW,801J,107.6882059,ISEA3H,25,845.8640858,738.17588,685.4751399
106,Building/Paved,NE,707C,108.236097,ISEA3H,25,362.5134769,254.27738,234.9284454
218,Forest,NE,707A,108.5941728,ISEA3H,25,483.3517838,374.757611,345.0991903
1044,PavedTrails,NE,707H,108.7463914,ISEA3H,25,604.1884048,495.4420134,455.5939807
536,Manicured,NW,801B,109.0570064,ISEA3H,25,422.9324143,313.8754079,287.8085675
282,Manicured,NE,801J,109.5446058,ISEA3H,25,604.1886728,494.644067,451.5458004
993,Manicured,NE,707H,109.743838,ISEA3H,25,725.0267058,615.2828678,560.6536813
847,Manicured,NE,707I,109.9246682,ISEA3H,25,302.0943293,192.1696611,174.8194143
883,Manicured,NE,707H,110.1283122,ISEA3H,25,543.7700114,433.6416992,393.760415
534,Manicured,NW,801E,110.1832116,ISEA3H,25,1087.540051,977.3568396,887.0288181
593,Manicured,NW,801E,110.4912093,ISEA3H,25,483.3510139,372.8598046,337.4565334
654,PavedTrails,NW,801B,110.5017522,ISEA3H,25,543.7703394,433.2685872,392.0920516
801,Manicured,NE,707I,112.2101865,ISEA3H,25,483.3508257,371.1406392,330.7548546
743,Building/Paved,NE,707D,112.37101,ISEA3H,25,1268.796918,1156.425908,1029.1141
1108,Roads/Raillines,NW,707A,112.455586,ISEA3H,25,483.3514424,370.8958564,329.8154139
